"Время","Планшеты, Визиты","Планшеты, Доля","Десктоп, Визиты","Десктоп, Доля","Смартфоны, Визиты","Смартфоны, Доля"
"2019-01-28 - 2019-02-03","215411059","0.04266572100356451","2500955181","0.4953555146626209","2332442357","0.4619787643338146"
"2019-02-04 - 2019-02-10","214808090","0.0425731822604513","2487330667","0.49296831338242847","2343481011","0.46445850435712027"
"2019-02-11 - 2019-02-17","211337411","0.04237222484832274","2442969704","0.48980472082876253","2333333061","0.4678230543229147"
"2019-02-18 - 2019-02-24","207569519","0.04229473371943246","2373630846","0.48365523542886474","2326491462","0.47405003085170283"
"2019-02-25 - 2019-03-03","212248268","0.04218083584181813","2423636190","0.48165764193976623","2395980458","0.4761615222184156"
"2019-03-04 - 2019-03-10","200018517","0.04350570314503026","2149359488","0.46750369535477676","2248146056","0.488990601500193"
"2019-03-11 - 2019-03-17","212550133","0.0416015241861967","2433326540","0.4762645474643119","2463314328","0.4821339283494914"
"2019-03-18 - 2019-03-24","210394259","0.04159858232307194","2407491889","0.47600276743622777","2439840516","0.48239865024070033"
"2019-03-25 - 2019-03-31","201226156","0.04168312948349715","2329484940","0.48254274848780887","2296809258","0.475774122028694"
"2019-04-01 - 2019-04-07","200985033","0.04038635097934158","2382754620","0.47879567420807734","2392818717","0.48081797481258115"
"2019-04-08 - 2019-04-14","194799091","0.03984490354557442","2322690127","0.47509135490048565","2371444464","0.48506374155393994"
"2019-04-15 - 2019-04-21","194484958","0.039710580131097115","2299798858","0.46958051550708946","2403276415","0.4907089043618134"
"2019-04-22 - 2019-04-28","184599477","0.03942082447952223","2179066119","0.46533492078297","2319125275","0.49524425473750777"
"2019-04-29 - 2019-05-05","180969819","0.04396929894435101","1762973465","0.4283405251874808","2171878968","0.5276901758681681"
"2019-05-06 - 2019-05-12","178179447","0.04235513584171795","1810247681","0.4303149870922537","2218369603","0.5273298770660284"
"2019-05-13 - 2019-05-19","181509260","0.038310002676293115","2168316237","0.4576526885874573","2388082290","0.5040373087362495"
"2019-05-20 - 2019-05-26","179399430","0.038347036964490856","2151400829","0.45986682964990067","2347512440","0.5017861333856085"
"2019-05-27 - 2019-06-02","167607923","0.037918703556739854","2041212492","0.46179279591969064","2211370870","0.5002885005235695"
"2019-06-03 - 2019-06-09","166231559","0.03813639371072827","1996656610","0.45806754771570196","2195981216","0.5037960585735698"
"2019-06-10 - 2019-06-16","169074399","0.039775654545516355","1877996111","0.44180860609748007","2203630099","0.5184157393570035"
"2019-06-17 - 2019-06-23","163708307","0.03846212711132199","1912877153","0.44941717103598","2179765379","0.512120701852698"
"2019-06-24 - 2019-06-30","168531953","0.03895203575745368","1942192542","0.44889026678426885","2215928778","0.5121576974582774"
"2019-07-01 - 2019-07-07","165850281","0.0390044586021037","1883333302","0.44291993579330907","2202901613","0.5180756056045872"
"2019-07-08 - 2019-07-14","163597667","0.03900001309379748","1843813591","0.4395463303979863","2187399308","0.5214536565082162"
"2019-07-15 - 2019-07-21","158791563","0.03870442782844134","1784179325","0.43488229861091354","2159700871","0.526413273560645"
"2019-07-22 - 2019-07-28","157315102","0.0384350903602647","1777175205","0.43419791693105814","2158516904","0.5273669927086772"
"2019-07-29 - 2019-08-04","160443266","0.03859376031094403","1813263056","0.4361706259703906","2183526990","0.5252356137186655"
"2019-08-05 - 2019-08-11","159734275","0.03827812694752327","1819987190","0.43613495413984354","2193269424","0.5255869189126332"
"2019-08-12 - 2019-08-18","157071800","0.0373519790842976","1834211294","0.4361790078783743","2213897029","0.5264690130373281"
"2019-08-19 - 2019-08-25","155949194","0.03688806396990382","1865365964","0.4412317706965085","2206317773","0.5218801653335877"
"2019-08-26 - 2019-09-01","158980013","0.03681224022030779","1913367026","0.44304516814153166","2246325556","0.5201425916381606"
"2019-09-02 - 2019-09-08","159464834","0.035826454056681854","1944717062","0.43691336031484096","2346854027","0.5272601856284771"
"2019-09-09 - 2019-09-15","162377757","0.035299593756867954","1971007797","0.42848094351814003","2466603843","0.536219462724992"
"2019-09-16 - 2019-09-22","167843332","0.0355345634988874","2006266343","0.4247520465157002","2549272730","0.5397133899854124"
"2019-09-23 - 2019-09-29","163697756","0.03445674830029808","2070377161","0.4357937852444521","2516743546","0.5297494664552498"
"2019-09-30 - 2019-10-06","162284430","0.034177947361038","2057716739","0.4333658773640131","2528219322","0.5324561752749489"
"2019-10-07 - 2019-10-13","163322982","0.033652886076406444","2113077871","0.4354020970749755","2576763349","0.5309450168486181"
"2019-10-14 - 2019-10-20","161475997","0.03270808028104346","2175878378","0.44073921816014944","2599529588","0.5265527015588072"
"2019-10-21 - 2019-10-27","160084093","0.03223013976841724","2199787170","0.44288877565037654","2607035308","0.5248810845812062"
"2019-10-28 - 2019-11-03","157070739","0.0329093711234192","2086471626","0.4371563380657291","2529284755","0.5299342908108517"
"2019-11-04 - 2019-11-10","162378719","0.033608644580163834","2058986588","0.4261626699457841","2610091630","0.5402286854740521"
"2019-11-11 - 2019-11-17","170334616","0.03372775028527338","2197313838","0.43508744239303454","2682632533","0.5311848073216922"
"2019-11-18 - 2019-11-24","172350069","0.03386019347622328","2215384825","0.435238345038255","2702314846","0.5309014614855218"
"2019-11-25 - 2019-12-01","176828065","0.03360491852526531","2288026537","0.4348232016197764","2797115156","0.5315718798549584"
"2019-12-02 - 2019-12-08","173054356","0.03328654540659879","2270411899","0.43670769412903815","2755461837","0.5300057604643631"
